,,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Months in Office,Reagan,Bush 41,Clinton,Bush 43,Obama,Trump,Biden,,,,,,,,,,,,,,,,,,,,
Oct,69,101,,245,230,320,,,,,,,,,,,,,,,,,,,,,,
Nov,70,102,,247,235,325,,,,,,,,,,,,,,,,,,,,,,
Dec,71,103,,252,239,332,,,,,,,,,,,,,,,,,,,,,,
Jan,72,105,,254,241,336,,,,,,,,,,,,,,,,,,,,,,
Feb,73,107,,254,243,339,,,,,,,,,,,,,,,,,,,,,,
Mar,74,108,,260,245,340,,,,,,,,,,,,,,,,,,,,,,
Apr,75,108,,264,249,343,,,,,,,,,,,,,,,,,,,,,,
May,76,109,,265,252,346,,,,,,,,,,,,,,,,,,,,,,
Jun,77,111,,269,253,353,,,,,,,,,,,,,,,,,,,,,,
Jul,78,115,,273,255,358,,,,,,,,,,,,,,,,,,,,,,
Aug,79,116,,276,264,363,,,,,,,,,,,,,,,,,,,,,,
Sep,80,118,,279,266,368,,,,,,,,,,,,,,,,,,,,,,
Oct,81,122,,282,268,378,,,,,,,,,,,,,,,,,,,,,,
Nov,82,125,,283,275,386,,,,,,,,,,,,,,,,,,,,,,
Dec,83,129,,288,283,395,,,,,,,,,,,,,,,,,,,,,,
Jan,84,130,,289,285,398,,,,,,,,,,,,,,,,,,,,,,
Feb,85,133,,294,287,402,,,,,,,,,,,,,,,,,,,,,,
Mar,86,134,,295,288,410,,,,,,,,,,,,,,,,,,,,,,
Apr,87,136,,299,294,413,,,,,,,,,,,,,,,,,,,,,,
May,88,138,,302,297,421,,,,,,,,,,,,,,,,,,,,,,
Jun,89,141,,306,301,429,,,,,,,,,,,,,,,,,,,,,,
Jul,90,142,,310,302,434,,,,,,,,,,,,,,,,,,,,,,
Aug,91,146,,316,309,444,,,,,,,,,,,,,,,,,,,,,,
Sep,92,151,,320,310,448,,,,,,,,,,,,,,,,,,,,,,
Oct,93,153,,323,323,457,,,,,,,,,,,,,,,,,,,,,,
Nov,94,155,,333,338,468,,,,,,,,,,,,,,,,,,,,,,
Dec,95,155,,339,347,482,,,,,,,,,,,,,,,,,,,,,,
Jan,96,159,,361,358,497,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compiled by the George Washington University Regulatory Studies Center, www.regulatorystudies.gwu.edu",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: Office of the Federal Register (federalregister.gov) for the Biden administration; Office of Information and Regulatory Affairs (OIRA) (reginfo.gov) for all the prior administrations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Updated: July 10, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
