year,title,vol,pages,words,word_source,pdf_present,xml_present,scraped_at
1998,29,8,651,348761,xml,True,True,2026-05-12
1998,29,9,901,544934,xml,True,True,2026-05-12
1998,30,1,733,387165,xml,True,True,2026-05-12
1998,30,2,629,355204,xml,True,True,2026-05-12
1998,30,3,721,420453,xml,True,True,2026-05-12
1998,31,1,429,251864,xml,True,True,2026-05-12
1998,31,2,1006,583768,xml,True,True,2026-05-12
1998,32,1,1048,589166,xml,True,True,2026-05-12
1998,32,2,1140,686407,xml,True,True,2026-05-12
1998,32,3,730,416371,xml,True,True,2026-05-12
1998,32,4,467,353498,xml,True,True,2026-05-12
1998,32,5,575,334725,xml,True,True,2026-05-12
1998,32,6,583,316070,xml,True,True,2026-05-12
1998,33,1,646,357149,xml,True,True,2026-05-12
1998,33,2,836,432284,xml,True,True,2026-05-12
1998,33,3,664,399065,xml,True,True,2026-05-12
1998,34,1,592,326941,xml,True,True,2026-05-12
1998,34,2,560,297277,xml,True,True,2026-05-12
1998,34,3,972,534851,xml,True,True,2026-05-12
1998,35,1,308,141112,xml,True,True,2026-05-12
1998,36,1,438,250717,xml,True,True,2026-05-12
1998,36,2,452,262329,xml,True,True,2026-05-12
1998,36,3,773,364913,xml,True,True,2026-05-12
1998,37,1,601,336657,xml,True,True,2026-05-12
1998,38,1,753,445088,xml,True,True,2026-05-12
1998,38,2,864,509905,xml,True,True,2026-05-12
1998,39,1,500,279961,xml,True,True,2026-05-12
1998,40,1,683,398308,xml,True,True,2026-05-12
1998,40,2,521,274898,xml,True,True,2026-05-12
1998,40,3,616,336702,xml,True,True,2026-05-12
1998,40,4,734,390911,xml,True,True,2026-05-12
1998,40,5,366,194039,xml,True,True,2026-05-12
1998,40,6,1167,619555,xml,True,True,2026-05-12
1998,40,7,398,207839,xml,True,True,2026-05-12
1998,40,8,1270,720554,xml,True,True,2026-05-12
1998,40,9,239,121346,xml,True,True,2026-05-12
1998,40,10,799,426717,xml,True,True,2026-05-12
1998,40,11,686,297956,xml,True,True,2026-05-12
1998,40,12,1169,623683,xml,True,True,2026-05-12
1998,40,13,1036,572813,xml,True,True,2026-05-12
1998,40,14,816,442332,xml,True,True,2026-05-12
1998,40,15,741,360599,xml,True,True,2026-05-12
1998,40,16,496,263271,xml,True,True,2026-05-12
1998,40,17,631,364838,xml,True,True,2026-05-12
1998,40,18,663,296696,xml,True,True,2026-05-12
1998,40,19,574,284529,xml,True,True,2026-05-12
1998,40,20,735,333493,xml,True,True,2026-05-12
1998,40,21,935,431087,xml,True,True,2026-05-12
1998,40,22,897,490865,xml,True,True,2026-05-12
1998,40,23,480,265948,xml,True,True,2026-05-12
1998,41,1,276,144089,xml,True,True,2026-05-12
1998,41,2,818,404967,xml,True,True,2026-05-12
1998,41,3,320,153680,xml,True,True,2026-05-12
1998,41,4,286,132236,xml,True,True,2026-05-12
1998,42,1,738,428429,xml,True,True,2026-05-12
1998,42,2,897,517573,xml,True,True,2026-05-12
1998,42,3,1138,502545,xml,True,True,2026-05-12
1998,43,1,615,382032,xml,True,True,2026-05-12
1998,43,2,1068,630164,xml,True,True,2026-05-12
1998,44,1,680,403856,xml,True,True,2026-05-12
1998,45,1,663,399880,xml,True,True,2026-05-12
1998,45,2,294,162295,xml,True,True,2026-05-12
1998,45,3,650,367982,xml,True,True,2026-05-12
1998,45,4,855,478585,xml,True,True,2026-05-12
1998,46,1,563,290425,xml,True,True,2026-05-12
1998,46,2,467,240063,xml,True,True,2026-05-12
1998,46,3,178,74306,xml,True,True,2026-05-12
1998,46,4,565,282212,xml,True,True,2026-05-12
1998,46,5,314,146446,xml,True,True,2026-05-12
1998,46,6,419,226409,xml,True,True,2026-05-12
1998,46,7,555,279553,xml,True,True,2026-05-12
1998,46,8,477,275446,xml,True,True,2026-05-12
1998,46,9,352,196587,xml,True,True,2026-05-12
1998,47,1,789,426598,xml,True,True,2026-05-12
1998,47,2,595,337091,xml,True,True,2026-05-12
1998,47,3,525,253862,xml,True,True,2026-05-12
1998,47,4,805,440316,xml,True,True,2026-05-12
1998,47,5,878,480197,xml,True,True,2026-05-12
1998,48,1,1135,587793,xml,True,True,2026-05-12
1998,48,2,627,307917,xml,True,True,2026-05-12
1998,48,3,760,413103,xml,True,True,2026-05-12
1998,48,4,649,322789,xml,True,True,2026-05-12
1998,48,5,709,387695,xml,True,True,2026-05-12
1998,48,6,725,349738,xml,True,True,2026-05-12
1998,48,7,538,223487,xml,True,True,2026-05-12
1998,49,1,685,350504,xml,True,True,2026-05-12
1998,49,2,1092,590454,xml,True,True,2026-05-12
1998,49,3,246,128199,xml,True,True,2026-05-12
1998,49,4,1016,576378,xml,True,True,2026-05-12
1998,49,5,1182,562245,xml,True,True,2026-05-12
1998,49,6,376,183377,xml,True,True,2026-05-12
1998,49,7,286,137996,xml,True,True,2026-05-12
1998,50,1,938,498852,xml,True,True,2026-05-12
1998,50,2,490,234111,xml,True,True,2026-05-12
1998,50,3,730,418200,xml,True,True,2026-05-12
1999,1,1,109,40634,xml,True,True,2026-05-12
1999,3,1,404,171696,pdf,True,False,2026-05-12
1999,4,1,160,80348,xml,True,True,2026-05-12
1999,5,1,777,429875,xml,True,True,2026-05-12
1999,5,2,581,343639,xml,True,True,2026-05-12
1999,5,3,921,465824,xml,True,True,2026-05-12
1999,7,1,535,310849,xml,True,True,2026-05-12
1999,7,2,665,327547,xml,True,True,2026-05-12
1999,7,3,413,218216,xml,True,True,2026-05-12
1999,7,4,987,615989,xml,True,True,2026-05-12
1999,7,5,526,296220,xml,True,True,2026-05-12
1999,7,6,764,517740,xml,True,True,2026-05-12
1999,7,7,658,389837,xml,True,True,2026-05-12
1999,7,8,865,512081,xml,True,True,2026-05-12
1999,7,9,972,616201,xml,True,True,2026-05-12
1999,7,10,777,490904,pdf,True,False,2026-05-12
