year,title,vol,pages,words,words_body,word_source,pdf_present,xml_present,scraped_at
2000,27,1,1119,688950,671552,xml,True,True,2026-06-23
2000,27,2,354,200217,187136,xml,True,True,2026-06-23
2000,28,1,825,463268,451120,xml,True,True,2026-06-23
2000,28,2,673,388657,374967,xml,True,True,2026-06-23
2000,29,1,629,375508,365213,xml,True,True,2026-06-23
2000,29,2,270,144696,134084,xml,True,True,2026-06-23
2000,29,3,894,560093,548497,xml,True,True,2026-06-23
2000,29,4,453,266587,255011,xml,True,True,2026-06-23
2000,29,5,970,564655,550790,xml,True,True,2026-06-23
2000,29,6,588,322021,311887,xml,True,True,2026-06-23
2000,29,7,377,200260,188397,xml,True,True,2026-06-23
2000,29,8,649,348422,336101,xml,True,True,2026-06-23
2000,29,9,958,573114,557303,xml,True,True,2026-06-23
2000,30,1,729,383247,365391,xml,True,True,2026-06-23
2000,30,2,649,372265,353017,xml,True,True,2026-06-23
2000,30,3,749,441268,423907,xml,True,True,2026-06-23
2000,31,1,429,251328,239457,xml,True,True,2026-06-23
2000,31,2,1011,595068,579248,xml,True,True,2026-06-23
2000,32,1,973,538842,528057,xml,True,True,2026-06-23
2000,32,2,1198,726714,711999,xml,True,True,2026-06-23
2000,32,3,654,373900,364043,xml,True,True,2026-06-23
2000,32,4,472,265650,256445,xml,True,True,2026-06-23
2000,32,5,599,350166,339567,xml,True,True,2026-06-23
2000,32,6,627,342145,331878,xml,True,True,2026-06-23
2000,33,1,655,363295,343866,xml,True,True,2026-06-23
2000,33,2,861,447592,426341,xml,True,True,2026-06-23
2000,33,3,682,407956,396388,xml,True,True,2026-06-23
2000,34,1,598,330612,307927,xml,True,True,2026-06-23
2000,34,2,536,260377,238061,xml,True,True,2026-06-23
2000,34,3,1043,583105,548606,xml,True,True,2026-06-23
2000,35,1,203,78756,78756,pdf,True,True,2026-06-23
2000,36,1,468,267959,257611,xml,True,True,2026-06-23
2000,36,2,469,275576,264406,xml,True,True,2026-06-23
2000,36,3,813,383806,369123,xml,True,True,2026-06-23
2000,37,1,626,352938,336619,xml,True,True,2026-06-23
2000,38,1,779,459464,439183,xml,True,True,2026-06-23
2000,38,2,898,523078,502668,xml,True,True,2026-06-23
2000,39,1,521,291813,277452,xml,True,True,2026-06-23
2000,40,1,694,403882,392582,xml,True,True,2026-06-23
2000,40,2,528,287000,275898,xml,True,True,2026-06-23
2000,40,3,692,383411,358162,xml,True,True,2026-06-23
2000,40,4,845,442564,425266,xml,True,True,2026-06-23
2000,40,5,391,214097,201189,xml,True,True,2026-06-23
2000,40,6,1260,668602,653849,xml,True,True,2026-06-23
2000,40,7,430,228859,215533,xml,True,True,2026-06-23
2000,40,8,1266,746727,732346,xml,True,True,2026-06-23
2000,40,9,939,532554,521568,xml,True,True,2026-06-23
2000,40,10,224,119184,108519,xml,True,True,2026-06-23
2000,40,11,914,519719,503409,xml,True,True,2026-06-23
2000,40,12,688,300467,287001,xml,True,True,2026-06-23
2000,40,13,1283,695835,678344,xml,True,True,2026-06-23
2000,40,14,1277,724201,708698,xml,True,True,2026-06-23
2000,40,15,911,507847,486068,xml,True,True,2026-06-23
2000,40,16,725,354846,345373,xml,True,True,2026-06-23
2000,40,17,477,261339,249738,xml,True,True,2026-06-23
2000,40,18,674,400842,384864,xml,True,True,2026-06-23
2000,40,19,662,298537,281111,xml,True,True,2026-06-23
2000,40,20,560,280393,269160,xml,True,True,2026-06-23
2000,40,21,712,328296,315961,xml,True,True,2026-06-23
2000,40,22,933,431607,418663,xml,True,True,2026-06-23
2000,40,23,893,489757,462616,xml,True,True,2026-06-23
2000,40,24,471,264748,245391,xml,True,True,2026-06-23
2000,41,1,290,152823,141636,xml,True,True,2026-06-23
2000,41,2,703,338702,325084,xml,True,True,2026-06-23
2000,41,3,398,192665,182298,xml,True,True,2026-06-23
2000,41,4,312,141446,127204,xml,True,True,2026-06-23
2000,42,1,786,444291,427948,xml,True,True,2026-06-23
2000,42,2,988,575464,546382,xml,True,True,2026-06-23
2000,42,3,1208,546978,520417,xml,True,True,2026-06-23
2000,43,1,688,403045,390653,xml,True,True,2026-06-23
2000,43,2,1017,596314,573797,xml,True,True,2026-06-23
2000,44,1,640,384990,372191,xml,True,True,2026-06-23
2000,45,1,717,432123,419834,xml,True,True,2026-06-23
2000,45,2,401,225664,211806,xml,True,True,2026-06-23
2000,45,3,682,384925,373518,xml,True,True,2026-06-23
2000,45,4,883,498685,486067,xml,True,True,2026-06-23
2000,46,1,593,299046,281501,xml,True,True,2026-06-23
2000,46,2,483,247010,229179,xml,True,True,2026-06-23
2000,46,3,177,73974,62416,xml,True,True,2026-06-23
2000,46,4,568,283237,262082,xml,True,True,2026-06-23
2000,46,5,316,146919,133611,xml,True,True,2026-06-23
2000,46,6,433,229372,214844,xml,True,True,2026-06-23
2000,46,7,584,284734,267902,xml,True,True,2026-06-23
2000,46,8,501,293123,281973,xml,True,True,2026-06-23
2000,46,9,312,170943,157675,xml,True,True,2026-06-23
2000,47,1,844,438264,418229,xml,True,True,2026-06-23
2000,47,2,580,326032,303835,xml,True,True,2026-06-23
2000,47,3,576,288491,265595,xml,True,True,2026-06-23
2000,47,4,871,479525,451619,xml,True,True,2026-06-23
2000,47,5,862,465515,433392,xml,True,True,2026-06-23
2000,48,1,1138,591418,558854,xml,True,True,2026-06-23
2000,48,2,634,310043,293358,xml,True,True,2026-06-23
2000,48,3,759,412641,382952,xml,True,True,2026-06-23
2000,48,4,562,274299,256017,xml,True,True,2026-06-23
2000,48,5,730,396289,375099,xml,True,True,2026-06-23
2000,48,6,761,369652,343821,xml,True,True,2026-06-23
2000,48,7,535,222643,211960,xml,True,True,2026-06-23
2000,49,1,719,371731,359309,xml,True,True,2026-06-23
2000,49,2,1121,601016,564007,xml,True,True,2026-06-23
2000,49,3,237,122214,107745,xml,True,True,2026-06-23
2000,49,4,1186,666502,648361,xml,True,True,2026-06-23
2000,49,5,1284,600594,580729,xml,True,True,2026-06-23
2000,49,6,344,184003,167673,xml,True,True,2026-06-23
2000,49,7,286,140378,129861,xml,True,True,2026-06-23
2000,50,1,972,534350,516713,xml,True,True,2026-06-23
2000,50,2,494,238073,222225,xml,True,True,2026-06-23
2000,50,3,891,521373,481831,xml,True,True,2026-06-23
2001,1,1,114,41166,29262,xml,True,True,2026-06-23
2001,3,1,496,184711,184564,xml,True,True,2026-06-23
2001,4,1,127,59088,49226,xml,True,True,2026-06-23
2001,5,1,808,448298,428365,xml,True,True,2026-06-23
