citation,gao_url
86 FR 11564,https://www.gao.gov/fedrules/201131
86 FR 11564,https://www.gao.gov/fedrules/201133
86 FR 13553,https://www.gao.gov/fedrules/210527
86 FR 15402,https://www.gao.gov/fedrules/201640
86 FR 20125,https://www.gao.gov/fedrules/209921
86 FR 20423,https://www.gao.gov/fedrules/201269
86 FR 21772,https://www.gao.gov/fedrules/201577
86 FR 28464,https://www.gao.gov/fedrules/201909
86 FR 30860,https://www.gao.gov/fedrules/201858
86 FR 31615,https://www.gao.gov/fedrules/202011
86 FR 35023,https://www.gao.gov/fedrules/202123
86 FR 35867,https://www.gao.gov/fedrules/202203
86 FR 36183,https://www.gao.gov/fedrules/202243
86 FR 44332,https://www.gao.gov/fedrules/202532
86 FR 44681,https://www.gao.gov/fedrules/202291
86 FR 47375,https://www.gao.gov/fedrules/203573
86 FR 47528,https://www.gao.gov/fedrules/203549
86 FR 48037,https://www.gao.gov/fedrules/202749
86 FR 54828,https://www.gao.gov/fedrules/203367
86 FR 56184,https://www.gao.gov/fedrules/203338
86 FR 58267,https://www.gao.gov/fedrules/203308
86 FR 58860,https://www.gao.gov/fedrules/202988
86 FR 64205,https://www.gao.gov/fedrules/202999
86 FR 64214,https://www.gao.gov/fedrules/202998
86 FR 64217,https://www.gao.gov/fedrules/202997
86 FR 70086,https://www.gao.gov/fedrules/203008
86 FR 70818,https://www.gao.gov/fedrules/203009
86 FR 72521,https://www.gao.gov/fedrules/203500
86 FR 83804,https://www.gao.gov/fedrules/203303
86 FR 86926,https://www.gao.gov/fedrules/203545
86 FR 87550,https://www.gao.gov/fedrules/203220
87 FR 12985,https://www.gao.gov/fedrules/203846
87 FR 13292,https://www.gao.gov/fedrules/204281
87 FR 13292,https://www.gao.gov/fedrules/204280
87 FR 13292,https://www.gao.gov/fedrules/204282
87 FR 14583,https://www.gao.gov/fedrules/204417
87 FR 15243,https://www.gao.gov/fedrules/203816
87 FR 1808,https://www.gao.gov/fedrules/203884
87 FR 19941,https://www.gao.gov/fedrules/204495
87 FR 20405,https://www.gao.gov/fedrules/203877
87 FR 28676,https://www.gao.gov/fedrules/207127
87 FR 30846,https://www.gao.gov/fedrules/205340
87 FR 32112,https://www.gao.gov/fedrules/210967
87 FR 33,https://www.gao.gov/fedrules/203667
87 FR 34607,https://www.gao.gov/fedrules/205357
87 FR 3540,https://www.gao.gov/fedrules/210145
87 FR 3541,https://www.gao.gov/fedrules/210147
87 FR 36129,https://www.gao.gov/fedrules/204673
87 FR 37918,https://www.gao.gov/fedrules/200718
